ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
16c58fbb328a31e5e110f9ee8d530ceb	Fungi	 Ascomycota	 Eurotiomycetes	 Chaetothyriales	 Herpotrichiellaceae	 Phialophora	 Phialophora_atrovirens
e57a800fee2cf175f551a08311de2c28	Fungi	 Ascomycota	 Dothideomycetes	 Pleosporales	 Cucurbitariaceae	 Pyrenochaetopsis	 Pyrenochaetopsis_leptospora
e8389c7122a52f6767e542606495ae86	Fungi	 Basidiomycota	 Agaricomycetes	 Sebacinales	 Serendipitaceae	 Serendipita	 Serendipita_sp
936329577e15eb080e311cc72f70f4c5	Fungi	 Basidiomycota	 Agaricomycetes	 Agaricales	 Cortinariaceae	 Cortinarius	 Cortinarius_harvardensis
3a374d86ebd627805a3af9e1b39e5813	Fungi	 Ascomycota	 Sordariomycetes	 Sordariales	 Chaetomiaceae	 Mycothermus	 Mycothermus_sp
581d07c649962fe65a22abb6e29dadf1	Fungi	 Ascomycota	 Sordariomycetes	 Coniochaetales	 Coniochaetaceae	 Coniochaeta	 Coniochaeta_ellipsoidea
6dcb989c2ecf1bf15df01de51bd371cc	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Hyaloscyphaceae	 Gemmina	 Gemmina_gemmarum
e741a1714440b00dd0fa707ef9a78a2c	Fungi	 Ascomycota	 Taphrinomycetes	 Taphrinales	 Taphrinaceae	 Taphrina	 Taphrina_sp
db07af96164fd6e43d87168c2b6127be	Fungi	 Basidiomycota	 Agaricomycetes	 Russulales	 Russulaceae	 Russula	 Russula_aquosa
7ce76e2703c5e5bbcbd99d7e469bf4af	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Myxotrichaceae	 Oidiodendron	 Oidiodendron_hughesii
f462753f4170f1bf315f433215052b02	Fungi	 Ascomycota	 Dothideomycetes	 Mycosphaerellales	 Teratosphaeriaceae		
