	observed_features	chao1	shannon_entropy	pielou_evenness	faith_pd
DT06-PM07-RH-16s-2022	165	165.5454545	6.529773779	0.886436079	29.93774612
DT06-PM08-RH-16s-2022	129	130.3636364	5.978858457	0.852754909	25.46949195
DT06-PM09-RH-16s-2022	125	125.9090909	6.332621465	0.909103872	22.48225951
DT09-PM01-RH-16s-2022	119	119	5.747919423	0.833657918	28.85458666
DT09-PM02-RH-16s-2022	126	126.9090909	5.964428806	0.85483582	24.35422523
DT09-PM05-RH-16s-2022	191	193.1538462	6.880176408	0.90798298	29.24215088
DT09-PM06-RH-16s-2022	116	116.25	6.058784991	0.883464827	21.70945915
DT09-PM07-RH-16s-2022	179	183.6666667	6.853858371	0.915824036	29.9297548
DT09-PM08-RH-16s-2022	71	71	5.202881835	0.846031834	11.53408456
DT09-PM09-RH-16s-2022	143	143.1	6.554075748	0.915390157	21.63293562
DT09-PM10-RH-16s-2022	119	119.25	6.379430264	0.925250019	17.92128772
NT01-PM01-RH-16s-2022	54	55	4.038242473	0.701706588	12.77086524
NT01-PM02-RH-16s-2022	166	169.4615385	6.431481123	0.872060574	30.01224214
NT01-PM09-RH-16s-2022	68	68	5.104203154	0.838477916	15.64352444
NT01-PM10-RH-16s-2022	133	134.3636364	6.263116308	0.88772014	24.9000429
NT02-PM01-RH-16s-2022	192	194.1538462	6.750881777	0.890034957	35.53132251
NT02-PM02-RH-16s-2022	162	164.625	6.469662784	0.88144346	27.16863278
NT02-PM03-RH-16s-2022	169	169.3333333	6.885282532	0.930333022	22.44160587
NT02-PM04-RH-16s-2022	161	164.4615385	6.522719177	0.889754895	29.14171354
NT02-PM07-RH-16s-2022	201	204.1111111	7.078361798	0.925148866	28.66807343
NT02-PM08-RH-16s-2022	144	145.4285714	6.537777038	0.911833392	22.64603885
NT02-PM09-RH-16s-2022	108	108.1428571	5.959656373	0.882273224	21.11913876
NT02-PM10-RH-16s-2022	201	210.75	6.979603303	0.912241034	24.64502223
NT03-PM07-RH-16s-2022	168	171	6.594309033	0.892048955	27.3997067
NT03-PM08-RH-16s-2022	185	190	6.882171249	0.913799319	29.28486127
NT03-PM09-RH-16s-2022	130	133.5	5.69177738	0.810521114	28.5985452
NT03-PM10-RH-16s-2022	139	142.5	6.335989184	0.89001849	24.52495098
NT03-PM11-RH-16s-2022	168	172.0909091	6.547852697	0.885764547	29.01972834
NT03-PM12-RH-16s-2022	178	181.75	6.642797101	0.888581323	29.29228207
NT03-PM13-RH-16s-2022	191	193.1	7.008416757	0.924906973	27.07658817
NT03-PM14-RH-16s-2022	120	127.0588235	5.54792098	0.803244369	27.02394607
NT03-PM15-RH-16s-2022	124	127	5.927798345	0.852405955	27.32364038
NT04-PM01-RH-16s-2022	86	86	5.568857599	0.86657768	18.27438227
NT04-PM02-RH-16s-2022	217	223.5625	6.778392824	0.87332965	39.60306409
NT04-PM03-RH-16s-2022	155	156.9090909	6.336977521	0.870927594	30.65382354
